object,dir.,pic.,acc. In rec,acc. In ob
green box,5,75,30,60
AC adapter,3,85,30,10
candy,10,3,60,80
spray can,9,3,90,40
tooth brush,7,30,60,60
chocolate bar,7,3,70,60
cell phone,3,3,60,60
pink cosmetics bottle,9,26,80,100
PC mouse,1,23,60,90
green pencil,1,29,80,30
red book,6,25,70,70
spoon,4,3,90,30
flash light,5,7,50,30
tomato,8,16,70,100
red cup,3,17,60,30
lemon,8,24,80,100
sun glass,1,9,60,60
knife,4,21,40,60
spatula,4,11,20,70
whisk,7,22,40,90
T-shaped razor,2,24,80,60
toothpaste,2,12,50,70
blue pencil,10,7,60,70
red bobbin,10,27,70,100
purple pencil,10,6,50,60
padlock,9,36,80,50
blue cosmetics bottle,9,21,70,60
shampoo bottle,9,10,60,70
black spray,9,17,70,40
banana,8,52,50,30
one shoe,2,70,50,60
foldable umbrella,7,32,10,40
