15,dir.,pic.,success time,acc. 
green box,5,75,11,73.33333
AC adapter,3,85,4,26.66667
candy,10,3,10,66.66667
spray can,9,3,8,53.33333
tooth brush,7,30,7,46.66667
chocolate bar,7,3,9,60.00000
cell phone,3,3,9,60.00000
pink cosmetics bottle,9,26,14,93.33333
PC mouse,1,23,12,80.00000
green pencil,1,29,7,46.66667
red book,6,25,6,40.00000
spoon,4,3,8,53.33333
flash light,5,7,7,46.66667
tomato,8,16,15,100.00000
red cup,3,17,5,33.33333
lemon,8,24,15,100.00000
sun glass,1,9,6,40.00000
knife,4,21,6,40.00000
spatula,4,11,10,66.66667
whisk,7,22,11,73.33333
T-shaped razor,2,24,7,46.66667
toothpaste,2,12,8,53.33333
blue pencil,10,7,8,53.33333
bobbin,10,27,11,73.33333
purple pencil,10,6,7,46.66667
silver padlock,9,36,8,53.33333
blue cosmetics bottle,9,21,10,66.66667
shampoo bottle,9,10,12,80.00000
black spray,9,17,9,60.00000
banana,8,52,8,53.33333
brown shoe,2,70,6,40.00000
foldable umbrella,7,32,4,26.66667
light bulb,7,99,7,46.66667
canned juice,6,5,11,73.33333
green pepper,8,38,13,86.66667
remote controller,5,3,8,53.33333
 popcorn box,1,44,7,46.66667
orange pen,3,33,9,60.00000
black bowl,3,24,6,40.00000
orange box,5,66,8,53.33333
blue sandal,6,44,7,46.66667
high heel,2,66,9,60.00000
stapler,5,93,8,53.33333
scissors,6,90,8,53.33333
zucchini,8,65,12,80.00000
digital camera,5,44,9,60.00000
music player,2,99,7,46.66667
pepper bin,3,64,7,46.66667
cleansing foam,2,44,8,53.33333
plastic tape,3,94,8,53.33333
