         15dir.       pic.       success timacc.       
green box            5         75         11    0.73333
AC adapter           3         85          4    0.26667
candy               10          3         10    0.66667
spray can            9          3          8    0.53333
tooth brush          7         30          7    0.46667
chocolate b          7          3          9    0.60000
cell phone           3          3          9    0.60000
pink cosmet          9         26         14    0.93333
PC mouse             1         23         12    0.80000
green penci          1         29          7    0.46667
red book             6         25          6    0.40000
spoon                4          3          8    0.53333
flash light          5          7          7    0.46667
tomato               8         16         15    1.00000
red cup              3         17          5    0.33333
lemon                8         24         15    1.00000
sun glass            1          9          6    0.40000
knife                4         21          6    0.40000
spatula              4         11         10    0.66667
whisk                7         22         11    0.73333
T-shaped ra          2         24          7    0.46667
toothpaste           2         12          8    0.53333
blue pencil         10          7          8    0.53333
bobbin              10         27         11    0.73333
purple penc         10          6          7    0.46667
silver padl          9         36          8    0.53333
blue cosmet          9         21         10    0.66667
shampoo bot          9         10         12    0.80000
black spray          9         17          9    0.60000
banana               8         52          8    0.53333
brown shoe           2         70          6    0.40000
foldable um          7         32          4    0.26667
light bulb           7         99          7    0.46667
canned juic          6          5         11    0.73333
green peppe          8         38         13    0.86667
remote cont          5          3          8    0.53333
 popcorn bo          1         44          7    0.46667
orange pen           3         33          9    0.60000
black bowl           3         24          6    0.40000
orange box           5         66          8    0.53333
blue sandal          6         44          7    0.46667
high heel            2         66          9    0.60000
stapler              5         93          8    0.53333
scissors             6         90          8    0.53333
zucchini             8         65         12    0.80000
digital cam          5         44          9    0.60000
music playe          2         99          7    0.46667
pepper bin           3         64          7    0.46667
cleansing f          2         44          8    0.53333
plastic tap          3         94          8    0.53333
